estado,situacao,votos,eleicao,ano,turno
Ceará,VOTOS NOS CANDIDATOS,2601856, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Norte,VOTOS NOS CANDIDATOS,979484, Nulos e brancos 1989 Turno 1,1989,1
Paraíba,VOTOS NOS CANDIDATOS,1300191, Nulos e brancos 1989 Turno 1,1989,1
Pernambuco,VOTOS NOS CANDIDATOS,2826828, Nulos e brancos 1989 Turno 1,1989,1
Alagoas,VOTOS NOS CANDIDATOS,861470, Nulos e brancos 1989 Turno 1,1989,1
Sergipe,VOTOS NOS CANDIDATOS,593879, Nulos e brancos 1989 Turno 1,1989,1
Bahia,VOTOS NOS CANDIDATOS,4051075, Nulos e brancos 1989 Turno 1,1989,1
Minas Gerais,VOTOS NOS CANDIDATOS,7756892, Nulos e brancos 1989 Turno 1,1989,1
Espírito Santo,VOTOS NOS CANDIDATOS,1183570, Nulos e brancos 1989 Turno 1,1989,1
Rio de Janeiro,VOTOS NOS CANDIDATOS,7401503, Nulos e brancos 1989 Turno 1,1989,1
São Paulo,VOTOS NOS CANDIDATOS,16741344, Nulos e brancos 1989 Turno 1,1989,1
Paraná,VOTOS NOS CANDIDATOS,4277224, Nulos e brancos 1989 Turno 1,1989,1
Santa Catarina,VOTOS NOS CANDIDATOS,2411062, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Sul,VOTOS NOS CANDIDATOS,5207189, Nulos e brancos 1989 Turno 1,1989,1
M. G. do Sul,VOTOS NOS CANDIDATOS,820163, Nulos e brancos 1989 Turno 1,1989,1
Mato Grosso,VOTOS NOS CANDIDATOS,740275, Nulos e brancos 1989 Turno 1,1989,1
Goiás,VOTOS NOS CANDIDATOS,1769511, Nulos e brancos 1989 Turno 1,1989,1
Distrito Federal,VOTOS NOS CANDIDATOS,759480, Nulos e brancos 1989 Turno 1,1989,1
Rondônia,Fernando Collor ,165607, Nulos e brancos 1989 Turno 1,1989,1
Acre,Fernando Collor ,49862, Nulos e brancos 1989 Turno 1,1989,1
Amazonas,Fernando Collor ,300848, Nulos e brancos 1989 Turno 1,1989,1
Roraima,Fernando Collor ,32130, Nulos e brancos 1989 Turno 1,1989,1
Pará,Fernando Collor ,793384, Nulos e brancos 1989 Turno 1,1989,1
Amapá,Fernando Collor ,42255, Nulos e brancos 1989 Turno 1,1989,1
Tocantins,Fernando Collor ,164964, Nulos e brancos 1989 Turno 1,1989,1
Maranhão,Fernando Collor ,609758, Nulos e brancos 1989 Turno 1,1989,1
Piauí,Fernando Collor ,383632, Nulos e brancos 1989 Turno 1,1989,1
Ceará,Fernando Collor ,861030, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Norte,Fernando Collor ,326878, Nulos e brancos 1989 Turno 1,1989,1
Paraíba,Fernando Collor ,457129, Nulos e brancos 1989 Turno 1,1989,1
Pernambuco,Fernando Collor ,1066986, Nulos e brancos 1989 Turno 1,1989,1
Alagoas,Fernando Collor ,554612, Nulos e brancos 1989 Turno 1,1989,1
Sergipe,Fernando Collor ,301730, Nulos e brancos 1989 Turno 1,1989,1
Bahia,Fernando Collor ,1408614, Nulos e brancos 1989 Turno 1,1989,1
Minas Gerais,Fernando Collor ,2801422, Nulos e brancos 1989 Turno 1,1989,1
Espírito Santo,Fernando Collor ,468910, Nulos e brancos 1989 Turno 1,1989,1
Rio de Janeiro,Fernando Collor ,1189385, Nulos e brancos 1989 Turno 1,1989,1
São Paulo,Fernando Collor ,4085223, Nulos e brancos 1989 Turno 1,1989,1
Paraná,Fernando Collor ,1738216, Nulos e brancos 1989 Turno 1,1989,1
Santa Catarina,Fernando Collor ,566990, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Sul,Fernando Collor ,480842, Nulos e brancos 1989 Turno 1,1989,1
M. G. do Sul,Fernando Collor ,436539, Nulos e brancos 1989 Turno 1,1989,1
Mato Grosso,Fernando Collor ,344973, Nulos e brancos 1989 Turno 1,1989,1
Goiás,Fernando Collor ,803199, Nulos e brancos 1989 Turno 1,1989,1
Distrito Federal,Fernando Collor ,172818, Nulos e brancos 1989 Turno 1,1989,1
