estado,situacao,votos,eleicao,ano,turno
Ceará,VOTOS NULOS,371781,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Norte,VOTOS NULOS,156863,Nulos e Brancos 1998 Turno 1,1998,1
Paraíba,VOTOS NULOS,258592,Nulos e Brancos 1998 Turno 1,1998,1
Pernambuco,VOTOS NULOS,537269,Nulos e Brancos 1998 Turno 1,1998,1
Alagoas,VOTOS NULOS,209661,Nulos e Brancos 1998 Turno 1,1998,1
Sergipe,VOTOS NULOS,107926,Nulos e Brancos 1998 Turno 1,1998,1
Bahia,VOTOS NULOS,754938,Nulos e Brancos 1998 Turno 1,1998,1
Minas Gerais,VOTOS NULOS,983910,Nulos e Brancos 1998 Turno 1,1998,1
Espírito Santo,VOTOS NULOS,136664,Nulos e Brancos 1998 Turno 1,1998,1
Rio de Janeiro,VOTOS NULOS,952910,Nulos e Brancos 1998 Turno 1,1998,1
São Paulo,VOTOS NULOS,1982703,Nulos e Brancos 1998 Turno 1,1998,1
Paraná,VOTOS NULOS,466612,Nulos e Brancos 1998 Turno 1,1998,1
Santa Catarina,VOTOS NULOS,213721,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Sul,VOTOS NULOS,398997,Nulos e Brancos 1998 Turno 1,1998,1
M. G. do Sul,VOTOS NULOS,89937,Nulos e Brancos 1998 Turno 1,1998,1
Mato Grosso,VOTOS NULOS,79957,Nulos e Brancos 1998 Turno 1,1998,1
Goiás,VOTOS NULOS,214929,Nulos e Brancos 1998 Turno 1,1998,1
Distrito Federal,VOTOS NULOS,85422,Nulos e Brancos 1998 Turno 1,1998,1
Rondônia,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),103927,Presidente,1998,1
Acre,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),59690,Presidente,1998,1
Amazonas,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),211507,Presidente,1998,1
Roraima,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),20601,Presidente,1998,1
Pará,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),530722,Presidente,1998,1
Amapá,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),62394,Presidente,1998,1
Tocantins,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),66607,Presidente,1998,1
Maranhão,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),444912,Presidente,1998,1
Piauí,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),270465,Presidente,1998,1
Ceará,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),872290,Presidente,1998,1
R. G. do Norte,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),267883,Presidente,1998,1
Paraíba,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),402293,Presidente,1998,1
Pernambuco,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),890971,Presidente,1998,1
Alagoas,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),161584,Presidente,1998,1
Sergipe,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),221565,Presidente,1998,1
Bahia,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),1372797,Presidente,1998,1
Minas Gerais,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),2129100,Presidente,1998,1
Espírito Santo,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),263636,Presidente,1998,1
Rio de Janeiro,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),2851274,Presidente,1998,1
São Paulo,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),4688677,Presidente,1998,1
Paraná,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),1168853,Presidente,1998,1
Santa Catarina,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),929698,Presidente,1998,1
